2022 May 07 11:31:59 | SpawnPoolWorker-3 | e13805 | Time: 0 | Total Job: 653 | End job: 0 | Running job: 0 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5640000 | Total Job: 653 | End job: 649 | Running job: 4 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5670000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5700000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5730000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5760000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5790000 | Total Job: 653 | End job: 650 | Running job: 3 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5820000 | Total Job: 653 | End job: 651 | Running job: 2 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5850000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5880000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5910000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5940000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 5970000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 6000000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 6030000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 6060000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 6090000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Time: 6120000 | Total Job: 653 | End job: 652 | Running job: 1 | Pending job: 0
2022 May 07 11:32:14 | SpawnPoolWorker-3 | e13805 | Average JCT: 85915.61 | Average Queue: 981.83
2022 May 07 11:32:15 | SpawnPoolWorker-3 | Finish e13805
2022 May 07 11:32:15 | SpawnPoolWorker-3 | begin to save
2022 May 07 11:32:15 | SpawnPoolWorker-3 | saved successfully
