2022 May 06 15:28:40 | SpawnPoolWorker-1 | 6214e9 | Time: 0 | Total Job: 41965 | End job: 0 | Running job: 1 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5340000 | Total Job: 41965 | End job: 41876 | Running job: 89 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5370000 | Total Job: 41965 | End job: 41908 | Running job: 57 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5400000 | Total Job: 41965 | End job: 41917 | Running job: 48 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5430000 | Total Job: 41965 | End job: 41923 | Running job: 42 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5460000 | Total Job: 41965 | End job: 41926 | Running job: 39 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5490000 | Total Job: 41965 | End job: 41928 | Running job: 37 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5520000 | Total Job: 41965 | End job: 41931 | Running job: 34 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5550000 | Total Job: 41965 | End job: 41932 | Running job: 33 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5580000 | Total Job: 41965 | End job: 41932 | Running job: 33 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5610000 | Total Job: 41965 | End job: 41935 | Running job: 30 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5640000 | Total Job: 41965 | End job: 41937 | Running job: 28 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5670000 | Total Job: 41965 | End job: 41938 | Running job: 27 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5700000 | Total Job: 41965 | End job: 41941 | Running job: 24 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5730000 | Total Job: 41965 | End job: 41942 | Running job: 23 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5760000 | Total Job: 41965 | End job: 41944 | Running job: 21 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5790000 | Total Job: 41965 | End job: 41944 | Running job: 21 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5820000 | Total Job: 41965 | End job: 41945 | Running job: 20 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5850000 | Total Job: 41965 | End job: 41945 | Running job: 20 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5880000 | Total Job: 41965 | End job: 41945 | Running job: 20 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5910000 | Total Job: 41965 | End job: 41947 | Running job: 18 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5940000 | Total Job: 41965 | End job: 41950 | Running job: 15 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 5970000 | Total Job: 41965 | End job: 41950 | Running job: 15 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 6000000 | Total Job: 41965 | End job: 41951 | Running job: 14 | Pending job: 0
2022 May 06 15:36:03 | SpawnPoolWorker-1 | 6214e9 | Time: 6030000 | Total Job: 41965 | End job: 41954 | Running job: 11 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6060000 | Total Job: 41965 | End job: 41954 | Running job: 11 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6090000 | Total Job: 41965 | End job: 41955 | Running job: 10 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6120000 | Total Job: 41965 | End job: 41955 | Running job: 10 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6150000 | Total Job: 41965 | End job: 41957 | Running job: 8 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6180000 | Total Job: 41965 | End job: 41958 | Running job: 7 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6210000 | Total Job: 41965 | End job: 41959 | Running job: 6 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6240000 | Total Job: 41965 | End job: 41959 | Running job: 6 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6270000 | Total Job: 41965 | End job: 41960 | Running job: 5 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6300000 | Total Job: 41965 | End job: 41960 | Running job: 5 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6330000 | Total Job: 41965 | End job: 41962 | Running job: 3 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6360000 | Total Job: 41965 | End job: 41962 | Running job: 3 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6390000 | Total Job: 41965 | End job: 41963 | Running job: 2 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6420000 | Total Job: 41965 | End job: 41963 | Running job: 2 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6450000 | Total Job: 41965 | End job: 41964 | Running job: 1 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6480000 | Total Job: 41965 | End job: 41964 | Running job: 1 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Time: 6510000 | Total Job: 41965 | End job: 41964 | Running job: 1 | Pending job: 0
2022 May 06 15:36:04 | SpawnPoolWorker-1 | 6214e9 | Average JCT: 28213.34 | Average Queue: 9370.63
2022 May 06 15:36:05 | SpawnPoolWorker-1 | Finish 6214e9
2022 May 06 15:36:05 | SpawnPoolWorker-1 | begin to save
2022 May 06 15:36:05 | SpawnPoolWorker-1 | saved successfully
